"Longitude","Gender","Senior Citizen","Partner","Dependents","Tenure Months","Phone Service","Multiple Lines","Internet Service","Online Security","Online Backup","Device Protection","Tech Support","Streaming TV","Streaming Movies","Contract","Paperless Billing","Payment Method","Churn Label","Churn Value","Churn Score","CLTV","Churn Reason"
-117.886844,2,1,1,1,1,2,1,1,"Yes",1,1,1,1,1,1,2,4,2,1,77,5687,11
-118.046695,1,1,2,1,2,2,1,2,"No",1,1,1,1,1,1,1,3,2,1,75,5687,15
-117.991372,2,2,1,1,3,1,2,1,"No",1,3,1,1,3,1,2,3,2,1,96,2314,13
-117.897367,2,2,1,1,13,2,3,2,"No",3,3,1,3,3,1,2,3,2,1,84,2494,9
-117.667677,2,1,1,1,59,2,1,3,"No internet service",2,2,2,2,2,3,1,4,2,1,83,5084,19
-117.605618,1,2,1,1,16,2,1,2,"No",1,1,3,3,3,1,2,3,2,1,81,3810,20
-117.756106,2,1,1,1,1,1,2,1,"No",1,1,1,1,1,1,1,1,2,1,73,5087,21
-117.785168,2,1,1,1,1,2,1,2,"No",1,1,1,1,1,1,1,4,2,1,69,3338,11
-117.815532,1,1,2,1,52,2,3,2,"No",3,3,1,3,3,1,2,3,2,1,65,4839,8
-117.893169,2,1,2,1,18,2,1,2,"No",1,3,1,3,3,1,1,4,2,1,68,4643,8
-118.145959,2,1,2,1,1,2,1,2,"No",1,1,1,1,1,1,1,3,2,1,97,4094,8
-117.00232,2,1,1,1,10,2,1,1,"No",1,1,1,1,1,1,2,2,2,1,83,4061,18
-116.304991,2,2,1,1,24,2,3,2,"No",1,1,1,1,1,1,2,3,2,1,98,2018,19
-116.561917,1,1,1,1,1,2,1,2,"Yes",1,1,1,1,1,1,2,4,2,1,80,2565,20
-116.444601,2,2,2,1,32,2,3,2,"No",1,1,1,1,1,1,2,3,2,1,69,4105,11
-117.258203,1,1,2,1,38,2,1,1,"Yes",3,1,3,3,3,2,1,2,2,1,81,2071,12
-117.256086,2,2,2,1,24,2,1,2,"No",1,3,1,3,3,1,2,3,2,1,73,2212,10
-116.969082,1,2,1,1,54,2,3,1,"Yes",3,1,3,3,3,2,1,1,2,1,83,4149,13
-117.134275,1,2,1,1,2,2,1,2,"No",1,1,1,1,1,1,2,3,2,1,73,2671,9
-116.823091,2,1,2,1,68,2,3,1,"No",3,3,3,1,3,2,2,1,2,1,81,4903,21
-116.940501,1,1,1,1,43,2,3,2,"No",3,3,1,3,3,3,2,3,2,1,91,5250,11
-116.53633,2,1,2,1,63,2,3,2,"No",3,3,1,3,3,1,2,3,2,1,98,4352,15
-116.986079,1,1,1,1,2,2,1,2,"No",1,1,1,3,3,1,2,3,2,1,76,4157,8
-117.166877,2,1,2,1,4,2,3,2,"No",3,3,1,1,1,1,2,1,2,1,73,4939,8
-117.127409,1,2,1,1,21,1,2,1,"Yes",1,1,1,3,1,1,2,3,2,1,97,4778,8
-117.142454,2,2,2,1,27,1,2,1,"Yes",1,1,1,1,1,1,1,2,2,1,91,2927,18
-117.122565,2,1,1,1,5,2,1,2,"No",1,3,1,3,3,1,1,1,2,1,98,5383,19
-117.209774,2,1,1,1,2,2,3,2,"No",1,1,1,3,1,1,2,3,2,1,73,3878,20
-117.012975,2,1,1,1,1,2,1,1,"No",3,1,1,1,1,1,1,4,2,1,76,2431,8
-116.291089,2,2,2,1,11,2,1,3,"No internet service",2,2,2,2,2,1,1,4,2,1,80,5888,12
-116.324817,1,2,2,1,55,2,3,2,"No",3,3,1,1,1,1,2,3,2,1,100,5502,10
-116.516976,1,1,1,1,34,2,1,2,"No",3,1,1,1,1,1,2,2,2,1,94,5795,13
-115.152865,2,1,2,1,69,2,3,2,"No",1,3,1,3,3,1,2,2,2,1,80,4020,9
-116.569499,2,1,1,1,1,2,1,3,"No internet service",2,2,2,2,2,1,2,4,2,1,95,3448,20
-115.689559,1,1,2,1,22,2,1,2,"No",3,1,1,1,3,1,1,3,2,1,88,3804,11
-116.119222,1,2,1,1,1,2,1,2,"No",1,3,1,1,1,1,2,1,2,1,67,4902,15
-117.536183,1,1,2,1,61,2,1,3,"No internet service",2,2,2,2,2,1,2,4,2,1,82,4221,8
-117.122396,2,1,1,1,12,2,1,1,"No",1,1,1,1,1,1,2,1,2,1,68,2887,8
-116.821698,1,1,1,1,1,2,1,2,"No",1,1,1,1,1,1,1,4,2,1,73,2792,3
-116.093376,1,1,2,1,28,2,1,2,"No",1,1,1,1,3,1,2,3,2,1,98,5201,3
-116.856103,2,1,2,1,4,2,3,2,"No",1,3,1,3,3,1,1,3,2,1,84,4417,3
-117.537886,1,1,2,1,13,2,1,1,"No",1,1,1,1,3,1,1,3,2,1,91,4498,3
-117.138286,2,1,1,1,1,2,1,1,"No",1,1,1,1,3,1,2,3,2,1,71,4877,3
-117.404686,1,1,2,1,1,2,1,2,"No",3,1,1,1,1,1,2,3,2,1,80,5980,3
-117.07683,2,1,1,1,24,2,3,2,"No",3,1,1,1,1,1,2,3,2,1,77,4418,3
-116.274755,2,1,1,1,5,2,1,2,"No",1,1,3,3,3,1,2,3,2,1,66,4192,3
-117.362274,1,1,1,1,15,2,1,2,"No",1,1,1,1,1,1,1,1,2,1,73,5671,3
-117.618263,1,1,2,1,48,1,2,1,"Yes",1,3,1,1,3,1,2,1,2,1,65,4926,19
-117.2914,1,1,2,1,8,2,1,2,"No",3,1,1,3,1,1,2,3,2,1,65,2879,20
-117.297553,2,1,1,1,1,2,3,2,"No",1,1,1,1,1,1,2,3,2,1,93,2814,21
-117.455583,1,1,2,1,2,2,1,2,"Yes",1,1,1,1,1,1,2,3,2,1,77,4263,11
-117.361788,2,1,1,1,22,1,2,1,"No",3,3,1,1,3,2,2,1,2,1,66,3099,15
-117.447864,1,2,1,1,5,1,2,1,"No",3,1,1,1,1,1,1,3,2,1,89,4099,12
-117.277533,1,1,1,1,12,2,3,2,"Yes",3,3,1,1,3,1,2,1,2,1,76,2538,10
-116.871544,1,2,1,1,20,2,3,2,"No",3,3,1,1,3,1,2,3,2,1,87,2666,13
-117.120868,2,1,2,1,2,2,1,2,"No",1,1,3,3,3,1,2,3,2,1,72,3715,8
-116.741796,1,1,2,1,6,2,3,2,"No",1,1,3,1,1,1,2,3,2,1,98,5032,19
-117.255039,1,2,2,1,5,2,3,2,"No",1,1,1,1,1,1,2,3,2,1,82,5273,20
-117.14719,2,1,1,1,40,2,3,2,"No",1,3,3,3,3,1,1,1,2,1,88,3492,21
-117.201666,1,2,2,1,27,2,1,2,"Yes",1,1,1,1,1,1,2,1,2,1,99,4517,11
-117.200006,1,1,1,1,23,2,3,2,"No",1,1,1,1,1,1,1,1,2,1,81,2115,15
-117.25071,2,1,2,1,34,2,3,2,"No",1,3,1,3,3,1,2,3,2,1,72,2568,8
-117.810896,1,1,1,1,1,2,3,2,"No",1,1,1,1,3,1,2,3,2,1,80,5679,8
-117.969501,2,1,1,1,13,1,2,1,"Yes",1,1,3,3,1,1,2,2,2,1,74,4856,17
-118.016195,2,1,2,1,39,2,1,2,"No",3,1,1,3,1,1,2,4,2,1,98,3364,18
-117.902304,2,1,1,1,32,2,3,2,"No",3,1,1,1,1,1,2,1,2,1,92,5974,3
-117.858918,1,1,1,1,35,2,3,2,"No",1,3,1,3,3,1,2,3,2,1,72,2744,5
-117.872941,2,1,2,1,56,2,3,2,"No",3,1,1,3,3,2,1,2,2,1,67,5170,6
-117.906099,1,1,2,1,12,2,1,3,"No internet service",2,2,2,2,2,1,1,4,2,1,72,3535,4
-117.870494,1,1,1,1,1,2,1,2,"Yes",1,1,1,1,1,1,1,4,2,1,87,3244,3
-117.788357,1,2,1,1,4,2,3,2,"No",1,3,1,3,1,1,2,3,2,1,74,5808,3
-117.79387,1,2,1,1,1,2,3,2,"No",1,1,1,3,1,1,2,3,2,1,66,4880,5
-117.732197,1,2,2,1,65,2,3,2,"Yes",1,3,1,3,3,1,1,1,2,1,91,4196,5
-119.306383,2,1,2,1,9,1,2,1,"No",3,1,1,1,1,1,2,3,2,1,83,2573,6
-119.221437,1,1,2,1,9,2,1,1,"Yes",3,3,3,1,1,1,1,4,2,1,76,3983,6
-119.100972,1,1,1,1,7,2,1,3,"No internet service",2,2,2,2,2,1,1,1,2,1,100,4479,6
-119.60137,2,2,2,1,49,2,3,2,"No",3,1,1,1,3,1,1,2,2,1,96,5059,4
-119.710008,2,2,2,1,43,2,3,2,"No",3,3,3,3,3,1,2,1,2,1,65,2728,4
-119.77191,1,1,2,1,65,2,3,2,"No",3,3,1,3,3,1,2,3,2,1,89,5720,3
-119.498771,2,2,2,1,56,2,3,2,"Yes",1,3,1,3,3,2,2,1,2,1,91,6268,5
-118.400432,2,1,1,1,1,2,1,2,"No",1,1,1,3,3,1,2,3,2,1,99,4996,3
-120.387793,2,1,1,1,1,2,1,1,"No",1,1,1,1,1,1,2,4,2,1,95,2295,5
-119.209689,1,2,1,1,2,2,3,2,"No",3,1,1,1,3,1,1,3,2,1,80,2065,5
-119.305858,1,1,1,1,3,2,1,2,"No",1,1,1,1,1,1,2,1,2,1,87,2876,5
-119.018233,1,1,1,1,1,2,1,2,"No",1,3,1,1,1,1,2,4,2,1,94,3860,6
-119.57013,1,2,1,1,8,2,1,3,"No internet service",2,2,2,2,2,1,1,3,2,1,83,5432,6
-120.080117,2,1,2,1,2,2,1,3,"No internet service",2,2,2,2,2,2,1,4,2,1,68,2362,6
-118.397782,1,1,1,1,4,1,2,1,"No",1,1,1,1,1,1,2,4,2,1,93,2038,4
-119.085807,1,1,1,1,4,2,1,1,"No",1,1,1,1,1,1,1,4,2,1,78,2864,3
-119.460557,1,1,1,1,1,2,3,2,"No",1,1,1,1,1,1,2,4,2,1,78,4838,5
-118.101378,2,2,1,1,52,1,2,1,"No",3,1,1,3,3,1,2,3,2,1,90,5597,6
-118.636698,1,1,1,1,2,1,2,1,"No",1,1,1,1,3,1,2,3,2,1,65,3146,4
-119.286833,2,1,2,1,1,2,1,2,"No",1,1,1,1,3,1,1,3,2,1,88,2046,3
-120.727344,2,1,1,1,1,2,1,3,"No internet service",2,2,2,2,2,1,1,4,2,1,66,3556,6
-120.382917,1,1,2,1,4,2,3,2,"No",1,1,1,1,3,1,2,3,2,1,74,5640,6
-120.550507,2,1,1,1,3,2,1,1,"No",1,1,1,1,1,1,2,3,2,1,67,2450,6
-120.275839,2,2,2,1,33,2,3,2,"No",1,1,1,3,3,1,2,3,2,1,96,4333,4
-120.604741,1,2,1,1,30,2,3,2,"Yes",3,3,1,1,1,1,1,2,2,1,97,2482,4
-120.655842,1,1,1,1,45,2,3,2,"No",1,3,3,1,1,1,2,3,2,1,73,5269,3
-118.171288,2,1,1,1,10,2,3,2,"Yes",1,1,1,3,3,1,1,3,2,1,80,3658,5
-117.637641,2,2,1,1,20,2,3,2,"No",1,3,1,3,3,1,2,3,2,1,92,5444,6
-118.59049,1,1,1,1,15,2,1,2,"No",3,1,1,1,3,1,2,1,2,1,96,3579,8
-117.889656,1,1,1,1,22,2,1,2,"No",1,1,1,3,3,1,1,3,2,1,82,3161,3
-118.029441,2,1,1,1,15,2,3,2,"No",1,1,1,3,3,1,2,3,2,1,77,5264,5
-117.773354,1,1,2,1,5,2,1,2,"Yes",1,3,1,1,3,1,2,4,2,1,79,4356,5
-117.67828,2,1,2,1,33,2,1,2,"No",1,3,1,3,3,2,2,3,2,1,76,4161,6
-117.384948,2,1,1,1,2,2,3,2,"No",3,1,1,1,1,1,2,3,2,1,97,3051,6
-117.79593,2,1,1,1,2,2,1,1,"No",1,1,1,1,1,1,1,3,2,1,81,3478,6
-119.345011,1,1,1,1,1,2,1,1,"No",1,1,3,1,1,1,2,3,2,1,71,4138,4
-120.019511,1,2,1,1,46,2,3,2,"Yes",3,3,1,3,3,2,2,3,2,1,81,2403,4
-120.119911,2,1,1,1,62,2,3,2,"No",1,3,1,3,3,2,2,3,2,1,92,5016,1
-119.69056,1,1,1,1,10,2,3,2,"No",1,1,3,3,3,1,2,3,2,1,74,5184,1
-120.123526,2,1,1,1,6,2,1,2,"No",3,1,1,3,1,1,2,3,2,1,75,4694,1
-120.194274,2,1,2,1,40,2,3,2,"No",3,1,1,3,3,1,2,3,2,1,70,2576,2
-119.930027,2,1,1,1,1,2,1,2,"No",1,1,1,1,1,1,2,3,2,1,76,3042,2
-119.024051,2,1,1,1,70,2,3,2,"Yes",1,1,3,3,3,3,2,2,2,1,80,4544,1
-119.175655,1,1,1,1,2,2,1,2,"No",1,3,1,1,3,1,2,4,2,1,95,2969,1
-120.153393,1,1,2,1,16,2,1,2,"No",3,3,1,3,1,1,2,2,2,1,73,3696,2
-119.642281,2,2,2,1,7,2,3,2,"No",1,1,1,3,3,1,2,1,2,1,83,3265,4
-120.653519,2,1,2,1,60,2,1,2,"No",3,3,1,3,1,2,1,3,2,1,76,4111,14
-119.348267,1,1,2,1,50,2,3,2,"Yes",3,1,3,3,3,2,1,3,2,1,82,4274,14
-119.202677,1,2,1,1,4,2,1,2,"No",1,1,1,3,1,1,2,3,2,1,72,5301,14
-119.762633,2,1,1,1,1,2,1,1,"No",1,1,1,1,1,1,1,4,2,1,89,3522,5
-119.82947,1,1,2,1,12,2,1,3,"No internet service",2,2,2,2,2,2,1,1,2,1,94,2653,5
-119.783786,2,1,1,1,1,2,1,2,"No",1,1,1,3,3,1,2,3,2,1,80,5951,8
-121.549826,1,1,1,1,62,2,3,2,"No",1,3,1,3,3,2,2,3,2,1,91,5600,5
-121.852507,2,1,1,1,1,2,1,1,"No",3,1,1,1,1,1,1,3,2,1,85,3718,5
-121.189757,2,2,2,1,20,2,1,2,"No",3,1,1,1,1,1,2,3,2,1,95,5849,5
-121.758398,2,1,2,1,4,2,1,2,"No",1,3,3,1,1,1,2,4,2,1,86,3080,6
-122.306132,1,1,1,1,60,1,2,1,"No",3,1,1,3,3,1,2,3,2,1,67,4941,6
-122.445202,1,1,1,1,15,2,1,2,"Yes",1,3,3,3,3,1,1,3,2,1,84,2122,4
-122.26308,2,1,1,1,10,2,1,2,"Yes",3,3,3,3,3,1,2,3,2,1,76,5803,4
-122.062947,2,1,2,1,50,2,3,2,"No",3,3,1,3,3,1,2,1,2,1,100,5812,19
-122.430661,1,1,1,1,12,2,1,2,"Yes",1,1,3,3,3,1,2,1,2,1,71,5559,19
-122.426468,1,1,1,1,9,2,3,2,"No",1,3,1,3,3,1,1,2,2,1,81,2954,19
-122.020456,2,1,1,1,17,2,1,2,"Yes",1,1,1,3,3,1,1,3,2,1,93,4940,19
-122.419233,2,2,1,1,9,2,3,2,"No",1,3,1,3,3,1,2,3,2,1,70,4038,19
-122.434801,2,2,2,1,1,2,3,2,"No",1,1,1,1,1,1,2,3,2,1,94,4369,19
-122.442833,1,1,1,1,13,2,1,2,"No",3,3,1,1,1,1,2,3,2,1,79,4806,21
-122.177746,1,2,1,1,4,2,3,2,"No",1,1,1,1,3,1,2,3,2,1,83,2467,11
-122.317723,1,1,1,1,6,2,3,2,"Yes",1,1,1,1,1,1,2,3,2,1,99,3263,15
-121.801599,1,1,1,1,3,2,3,2,"No",1,1,1,1,1,1,1,1,2,1,97,2054,8
-121.838298,2,2,1,1,35,2,3,2,"No",1,3,1,3,3,1,2,3,2,1,82,2074,8
-121.601461,2,2,1,1,2,2,1,1,"No",1,1,1,1,1,1,1,4,2,1,84,5900,8
-122.039144,2,1,2,1,1,2,1,1,"No",1,1,1,1,1,1,1,2,2,1,74,3700,8
-121.962472,2,1,1,1,1,2,1,1,"No",1,1,1,1,1,1,2,4,2,1,72,3571,18
-121.899117,2,2,1,1,8,2,1,2,"Yes",1,1,3,3,3,1,1,2,2,1,74,5084,3
-122.120843,1,1,1,1,2,2,3,2,"No",1,1,1,3,3,1,2,3,2,1,83,3391,6
-121.659562,2,2,2,1,44,1,2,1,"No",3,1,1,1,1,1,2,3,2,1,96,4829,3
-122.115432,2,1,1,1,71,2,3,2,"Yes",1,3,3,3,3,3,2,3,2,1,81,5200,3
-122.27011,2,2,2,1,62,2,3,2,"No",3,3,1,3,3,2,2,3,2,1,91,5052,5
-122.293716,2,1,1,1,1,2,3,2,"No",1,1,1,1,3,1,2,3,2,1,93,5228,5
-121.862395,1,2,2,1,33,2,3,2,"No",3,1,1,1,1,1,2,1,2,1,72,3601,6
-122.132415,1,1,1,1,34,2,1,2,"No",1,1,1,1,1,1,2,2,2,1,93,2318,6
-121.976784,1,2,1,1,4,2,3,2,"No",1,1,1,3,3,1,2,3,2,1,99,5419,4
-122.051521,1,1,1,1,7,2,1,2,"No",1,3,1,3,3,1,2,3,2,1,92,3077,4
-121.912061,2,2,2,1,27,2,3,2,"No",1,1,1,1,1,1,2,3,2,1,65,2377,3
-122.075197,1,1,1,1,18,2,3,2,"No",1,1,3,1,3,1,2,3,2,1,80,4260,5
-122.052782,1,1,1,1,2,2,1,2,"No",1,1,1,1,1,1,1,3,2,1,84,5225,6
-122.008483,2,1,2,1,32,2,3,2,"Yes",1,1,1,3,3,1,2,2,2,1,71,5026,4
-122.244314,2,1,2,1,18,2,1,1,"No",1,3,1,1,3,1,1,3,2,1,84,2989,3
-122.297401,2,1,2,1,12,2,1,1,"No",1,1,1,1,3,2,1,2,2,1,78,2595,3
-122.246597,2,2,1,1,8,2,3,2,"No",1,3,1,3,3,1,2,3,2,1,90,5906,5
-122.279391,1,2,2,1,3,2,1,2,"Yes",1,1,3,3,1,1,2,4,2,1,68,4486,5
-122.303708,1,2,1,1,8,2,1,2,"No",1,3,1,3,3,1,2,3,2,1,81,5662,6
-122.563571,2,2,1,1,14,2,1,2,"No",1,1,1,3,3,1,1,2,2,1,96,4777,6
-123.037957,2,1,2,1,32,2,1,2,"No",1,1,1,1,1,1,2,1,2,1,96,2356,8
-122.718742,1,1,1,1,1,2,1,3,"No internet service",2,2,2,2,2,1,1,4,2,1,99,5881,4
-122.689442,2,2,1,1,12,1,2,1,"No",1,3,3,1,3,1,2,3,2,1,74,2437,3
-122.532369,1,1,1,1,5,1,2,1,"No",1,3,1,1,3,1,1,3,2,1,93,2863,5
-122.834815,2,1,2,1,40,2,3,2,"No",1,1,1,3,3,1,2,1,2,1,67,3099,6
-122.563683,1,1,1,1,5,2,1,2,"No",1,1,1,1,3,1,2,3,2,1,97,3937,4
-122.665566,1,1,1,1,10,2,1,2,"Yes",1,1,1,3,1,1,2,4,2,1,69,5686,3
-122.634384,2,1,2,1,2,2,1,2,"No",1,1,1,3,3,1,2,1,2,1,73,3851,3
-122.524004,2,1,1,1,23,2,3,2,"No",1,1,3,3,1,1,2,3,2,1,82,4359,5
-122.575026,1,1,1,1,23,2,3,2,"Yes",1,1,1,3,1,1,2,1,2,1,67,4650,5
-122.515692,2,1,2,1,49,2,3,2,"No",3,1,1,3,3,1,2,1,2,1,100,5157,5
-122.901041,1,1,1,1,2,2,1,2,"No",1,1,1,1,1,1,1,1,2,1,68,5667,6
-122.935056,1,1,1,1,2,2,1,1,"No",3,1,1,1,1,1,2,2,2,1,98,2960,6
-122.142961,1,1,1,1,41,2,3,2,"Yes",3,3,3,3,3,1,2,1,2,1,80,3038,4
-121.785559,1,2,1,1,13,2,1,2,"No",1,3,1,1,1,1,2,3,2,1,97,2995,3
-121.528955,1,2,1,1,11,2,1,2,"No",1,1,1,3,3,1,1,1,2,1,89,2202,5
-121.988727,2,2,2,1,17,2,3,2,"No",1,3,1,3,3,1,2,2,2,1,87,5508,6
-121.606417,2,1,2,1,25,2,1,2,"No",1,1,1,3,3,2,2,3,2,1,100,5801,4
-121.991149,2,1,2,1,3,2,1,1,"No",3,3,1,1,1,1,2,4,2,1,83,2539,3
-121.883119,1,1,1,1,4,2,1,2,"Yes",1,3,3,1,3,1,2,1,2,1,74,4249,3
-121.852855,1,1,2,1,37,2,3,2,"No",1,3,1,1,1,1,2,2,2,1,97,3982,5
-121.894763,1,1,1,1,19,1,2,1,"No",1,1,1,3,3,2,2,2,2,1,72,5182,5
-121.936285,2,2,2,1,39,2,3,2,"No",3,3,1,3,3,1,2,3,2,1,96,4687,5
-122.000887,2,1,1,1,7,2,1,2,"No",1,3,1,1,1,1,1,4,2,1,75,3331,6
-121.945416,1,1,2,1,14,2,3,1,"Yes",1,1,1,3,1,1,2,1,2,1,86,4049,6
-121.723877,1,2,2,1,11,2,3,2,"No",1,3,3,3,3,1,2,1,2,1,82,4553,6
-121.348048,2,1,1,1,1,1,2,1,"No",1,1,1,1,3,1,2,3,2,1,71,3958,8
-121.387999,1,1,1,1,2,2,3,2,"No",1,1,1,3,3,1,2,3,2,1,82,2414,4
-121.235034,2,1,2,1,13,2,1,2,"No",1,3,1,3,3,1,2,4,2,1,75,5295,1
-120.579304,1,2,2,1,3,2,1,2,"No",1,1,1,3,1,1,2,3,2,1,89,3834,1
-121.030499,2,1,1,1,1,1,2,1,"No",3,1,1,1,1,1,2,4,2,1,85,3605,1
-121.159078,1,1,1,1,12,2,3,2,"No",3,1,1,3,1,1,2,1,2,1,97,5671,2
-120.849231,2,1,2,1,60,2,1,2,"No",3,1,1,3,3,2,2,3,2,1,99,4990,2
-120.469545,2,1,1,1,1,2,1,3,"No internet service",2,2,2,2,2,1,2,3,2,1,66,3874,2
-120.656354,1,1,1,1,6,2,3,2,"No",3,3,3,3,3,1,2,2,2,1,69,5750,1
-120.256995,2,1,1,1,15,2,1,2,"No",1,3,3,3,3,1,2,3,2,1,99,3025,1
-120.765493,1,1,1,1,1,2,3,1,"No",1,1,1,1,3,1,2,3,2,1,91,4611,2
-120.69955,2,1,1,1,7,2,3,2,"No",1,3,1,3,1,1,2,3,2,1,98,5356,4
-120.078597,2,1,2,1,53,2,1,2,"No",3,1,1,3,3,2,2,1,2,1,96,5414,14
-121.007575,2,1,2,1,17,2,1,2,"No",1,1,1,1,1,1,2,3,2,1,77,3368,5
-121.012295,1,1,2,1,11,2,3,1,"No",1,1,3,1,3,1,2,3,2,1,91,2860,5
-121.025836,2,1,1,1,19,2,3,2,"No",1,1,1,1,3,1,2,1,2,1,98,4857,5
-120.877572,1,1,2,1,3,2,1,2,"No",1,1,1,1,3,1,2,3,2,1,72,3212,5
-120.776141,2,1,1,1,24,2,3,2,"No",3,1,1,3,1,1,2,2,2,1,67,5927,8
-120.954271,1,1,1,1,2,2,3,2,"No",1,1,1,1,1,1,2,3,2,1,86,2101,8
-120.426843,1,1,2,1,16,1,2,1,"No",1,1,3,3,3,1,2,3,2,1,78,4840,8
-120.854357,2,1,2,1,34,2,1,2,"No",1,1,1,3,1,1,1,3,2,1,77,2777,8
-121.28257,2,1,1,1,3,2,3,2,"No",1,1,1,1,1,1,2,3,2,1,92,4428,8
-119.607001,1,2,1,1,16,2,3,2,"No",1,1,1,3,3,1,2,3,2,1,96,5913,8
-122.739814,2,1,1,1,1,2,1,1,"No",1,1,1,1,1,1,1,3,2,1,66,4568,8
-122.580539,1,1,1,1,15,2,1,3,"No internet service",2,2,2,2,2,1,1,1,2,1,87,5379,8
-123.682799,1,1,1,1,11,2,3,2,"No",1,1,3,3,1,1,1,3,2,1,66,5250,5
-123.784599,2,1,1,1,1,2,1,1,"No",1,1,1,1,1,1,1,4,2,1,98,4094,15
-122.938935,1,1,1,1,7,2,1,2,"No",1,1,1,1,3,1,2,3,2,1,69,3830,15
-123.565432,1,1,1,1,2,1,2,1,"No",1,1,3,1,1,1,2,3,2,1,98,2860,15
-122.777141,1,2,2,1,68,2,3,2,"No",3,1,1,1,3,1,2,1,2,1,69,5651,15
-123.50608,2,1,2,1,59,2,3,2,"Yes",3,3,1,3,3,2,2,3,2,1,97,4601,15
-122.838198,2,2,2,1,7,2,1,2,"No",1,1,1,3,3,1,2,3,2,1,89,3077,15
-122.97932,2,1,2,1,8,2,1,2,"Yes",1,1,1,1,1,1,1,3,2,1,80,2587,15
